Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto
25-08-2023,4.4154,4.49,4.3597,4.49,4.4459,119044.2464,1380,Polkadot
26-08-2023,4.4876,4.5104,4.4754,4.5008,4.4927,41207.54615,590,Polkadot
27-08-2023,4.5074,4.5384,4.463,4.4903,4.5073,46895.91709,708,Polkadot
28-08-2023,4.4884,4.6141,4.418,4.6063,4.5643,181277.6094,1697,Polkadot
29-08-2023,4.6112,4.8005,4.5378,4.6723,4.678,378605.2126,2831,Polkadot
30-08-2023,4.6757,4.678,4.4787,4.5351,4.6013,240661.5147,1774,Polkadot
31-08-2023,4.5351,4.5351,4.2411,4.2681,4.3977,593008.6865,3862,Polkadot
01-09-2023,4.2648,4.2922,4.14,4.2154,4.2208,251656.0522,2156,Polkadot
02-09-2023,4.2144,4.2709,4.2047,4.2599,4.2468,88789.23414,868,Polkadot
03-09-2023,4.2605,4.2993,4.2301,4.2569,4.2738,144126.986,1173,Polkadot
04-09-2023,4.2577,4.3157,4.1929,4.2532,4.2519,136888.7318,1309,Polkadot
05-09-2023,4.2562,4.2948,4.2024,4.2542,4.2612,176758.9443,1392,Polkadot
06-09-2023,4.254,4.2771,4.1764,4.2691,4.2437,199188.792,1304,Polkadot
07-09-2023,4.2679,4.3001,4.2335,4.2892,4.2717,279695.9834,1325,Polkadot
08-09-2023,4.2904,4.3263,4.205,4.2496,4.258,94897.33541,882,Polkadot
09-09-2023,4.2495,4.2729,4.2356,4.2404,4.2557,86120.3358,558,Polkadot
